,date,return_rate
157,2021-01-05,1.1397818501127988
158,2021-01-06,1.1562007747777587
159,2021-01-07,1.1641413421877969
160,2021-01-08,1.1662730174895968
161,2021-01-09,1.1662730174895968
162,2021-01-10,1.1662730174895968
163,2021-01-11,1.1629246860554727
164,2021-01-12,1.1651748772887658
165,2021-01-13,1.1648666479687886
166,2021-01-14,1.162280759260815
167,2021-01-15,1.1556329530837326
168,2021-01-16,1.1556329530837326
169,2021-01-17,1.1556329530837326
170,2021-01-18,1.1556329530837326
171,2021-01-19,1.1599930648403007
172,2021-01-20,1.1696636865061705
173,2021-01-21,1.1691997310611288
174,2021-01-22,1.1624855618222831
175,2021-01-23,1.1624855618222831
176,2021-01-24,1.1624855618222831
177,2021-01-25,1.1610986763792113
178,2021-01-26,1.1602375680413664
179,2021-01-27,1.1364654549865434
180,2021-01-28,1.1477235162490251
181,2021-01-29,1.1244437790233102
182,2021-01-30,1.1244437790233102
183,2021-01-31,1.1244437790233102
184,2021-02-01,1.133042922910514
185,2021-02-02,1.1508783253772128
186,2021-02-03,1.1522329082703537
187,2021-02-04,1.1646937084667766
188,2021-02-05,1.168158285131605
189,2021-02-06,1.168158285131605
190,2021-02-07,1.168158285131605
191,2021-02-08,1.1770660245808489
192,2021-02-09,1.176693629651485
193,2021-02-10,1.179017728533033
194,2021-02-11,1.17875139730503
195,2021-02-12,1.1797902795401145
196,2021-02-13,1.1797902795401145
197,2021-02-14,1.1797902795401145
198,2021-02-15,1.1797902795401145
199,2021-02-16,1.1822035949881387
200,2021-02-17,1.1855889901190089
201,2021-02-18,1.1811006203920797
202,2021-02-19,1.181137391095176
203,2021-02-20,1.181137391095176
204,2021-02-21,1.181137391095176
205,2021-02-22,1.1821638211001282
206,2021-02-23,1.1827511268718907
207,2021-02-24,1.1986715960895018
208,2021-02-25,1.177675451373199
209,2021-02-26,1.160062431086978
210,2021-02-27,1.160062431086978
211,2021-02-28,1.160062431086978
212,2021-03-01,1.1826821268672763
213,2021-03-02,1.1772820341494357
214,2021-03-03,1.1727280338448687
215,2021-03-04,1.1597538355249382
216,2021-03-05,1.1812116649854938
217,2021-03-06,1.1812116649854938
218,2021-03-07,1.1812116649854938
219,2021-03-08,1.1926928409125788
220,2021-03-09,1.1938292167847566
221,2021-03-10,1.2112411701785495
222,2021-03-11,1.2183131579126634
223,2021-03-12,1.229303496227304
224,2021-03-13,1.229303496227304
225,2021-03-14,1.229303496227304
226,2021-03-15,1.2358598151371214
227,2021-03-16,1.2310777192758984
228,2021-03-17,1.2381816433178805
229,2021-03-18,1.2324410187301318
230,2021-03-19,1.2236528939385694
231,2021-03-20,1.2236528939385694
232,2021-03-21,1.2236528939385694
233,2021-03-22,1.2275242922866565
234,2021-03-23,1.2159714794121053
235,2021-03-24,1.2158556004234637
236,2021-03-25,1.223334483089249
237,2021-03-26,1.24033836957677
238,2021-03-27,1.24033836957677
239,2021-03-28,1.24033836957677
240,2021-03-29,1.2440321405244428
241,2021-03-30,1.2401164268867677
242,2021-03-31,1.236913273806302
243,2021-04-01,1.2433510767846265
244,2021-04-02,1.2433510767846265
245,2021-04-03,1.2433510767846265
246,2021-04-04,1.2433510767846265
247,2021-04-05,1.2573765363213611
248,2021-04-06,1.2537404851227718
249,2021-04-07,1.254341415099267
250,2021-04-08,1.256490670020077
251,2021-04-09,1.2676302885994781
252,2021-04-10,1.2676302885994781
253,2021-04-11,1.2676302885994781
254,2021-04-12,1.2655599954673884
255,2021-04-13,1.2630049443410951
256,2021-04-14,1.2650159062590256
257,2021-04-15,1.2764580407822257
258,2021-04-16,1.2826342004309497
259,2021-04-17,1.2826342004309497
260,2021-04-18,1.2826342004309497
261,2021-04-19,1.278019696937623
262,2021-04-20,1.2684065752755989
263,2021-04-21,1.2802578754312592
264,2021-04-22,1.2682039701665075
265,2021-04-23,1.2767393146863875
266,2021-04-24,1.2767393146863875
267,2021-04-25,1.2767393146863875
268,2021-04-26,1.2744171935119781
269,2021-04-27,1.2745431807815506
270,2021-04-28,1.2683720020248794
271,2021-04-29,1.277372034473926
272,2021-04-30,1.2704149002506782
273,2021-05-01,1.2704149002506782
274,2021-05-02,1.2704149002506782
275,2021-05-03,1.2793548690014402
276,2021-05-04,1.280097461407792
277,2021-05-05,1.283746843817464
278,2021-05-06,1.2956800356983462
279,2021-05-07,1.3042769088847612
280,2021-05-08,1.3042769088847612
281,2021-05-09,1.3042769088847612
282,2021-05-10,1.302966494784383
283,2021-05-11,1.2852027292651504
284,2021-05-12,1.2596443071736636
285,2021-05-13,1.275912779599262
286,2021-05-14,1.2894394174465849
287,2021-05-15,1.2894394174465849
288,2021-05-16,1.2894394174465849
289,2021-05-17,1.2874015001128387
290,2021-05-18,1.2773833147294569
291,2021-05-19,1.2712094990299343
292,2021-05-20,1.2782642001386884
293,2021-05-21,1.282903022104979
294,2021-05-22,1.282903022104979
295,2021-05-23,1.282903022104979
296,2021-05-24,1.2898838888138904
297,2021-05-25,1.2868266465712086
298,2021-05-26,1.2872237994640119
299,2021-05-27,1.2925338698828384
300,2021-05-28,1.2949643987078099
301,2021-05-29,1.2949643987078099
302,2021-05-30,1.2949643987078099
303,2021-05-31,1.2949643987078099
304,2021-06-01,1.296684271434298
305,2021-06-02,1.2976244880576884
306,2021-06-03,1.2967491695278104
307,2021-06-04,1.3034754247547256
308,2021-06-05,1.3034754247547256
309,2021-06-06,1.3034754247547256
310,2021-06-07,1.298744309788632
311,2021-06-08,1.2976035390117013
312,2021-06-09,1.2918775641064608
313,2021-06-10,1.2925937870842972
314,2021-06-11,1.29309495272291
315,2021-06-12,1.29309495272291
316,2021-06-13,1.29309495272291
317,2021-06-14,1.28987524550121
318,2021-06-15,1.286334124245275
319,2021-06-16,1.2763711681649499
320,2021-06-17,1.2684871485293945
321,2021-06-18,1.248484032541925
322,2021-06-19,1.248484032541925
323,2021-06-20,1.248484032541925
324,2021-06-21,1.2704943015298729
325,2021-06-22,1.2730673717656513
326,2021-06-23,1.2703919002491388
327,2021-06-24,1.2824897545614156
328,2021-06-25,1.2913787424170484
329,2021-06-26,1.2913787424170484
330,2021-06-27,1.2913787424170484
331,2021-06-28,1.2857318757973535
332,2021-06-29,1.2860701369664729
333,2021-06-30,1.2939541566020283
334,2021-07-01,1.2988678066121768
335,2021-07-02,1.3045990554031202
336,2021-07-03,1.3045990554031202
337,2021-07-04,1.3045990554031202
338,2021-07-05,1.3045990554031202
339,2021-07-06,1.2967616217579416
340,2021-07-07,1.300677628389267
341,2021-07-08,1.2909320735973668
342,2021-07-09,1.3077421447853015
343,2021-07-10,1.3077421447853015
344,2021-07-11,1.3077421447853015
345,2021-07-12,1.3124682788593423
346,2021-07-13,1.308440788144128
347,2021-07-14,1.3101074825231107
348,2021-07-15,1.31212474380452
349,2021-07-16,1.3009049914617978
350,2021-07-17,1.3009049914617978
351,2021-07-18,1.3009049914617978
352,2021-07-19,1.273684709386556
353,2021-07-20,1.2943095578996828
354,2021-07-21,1.3050359089355215
355,2021-07-22,1.3059866733303178
356,2021-07-23,1.3149199032271262
357,2021-07-24,1.3149199032271262
358,2021-07-25,1.3149199032271262
359,2021-07-26,1.3180235849633595
360,2021-07-27,1.3148062216908607
361,2021-07-28,1.310021195893136
362,2021-07-29,1.3157817440490964
363,2021-07-30,1.310191425203884
364,2021-07-31,1.310191425203884
365,2021-08-01,1.310191425203884
366,2021-08-02,1.3065420427942118
367,2021-08-03,1.316976865148133
368,2021-08-04,1.3048360872661064
369,2021-08-05,1.315021132533259
370,2021-08-06,1.320431406780443
371,2021-08-07,1.320431406780443
372,2021-08-08,1.320431406780443
373,2021-08-09,1.3164313109715193
374,2021-08-10,1.3225375916346782
375,2021-08-11,1.3307994265821257
376,2021-08-12,1.3313575794856964
377,2021-08-13,1.331939904365406
378,2021-08-14,1.331939904365406
379,2021-08-15,1.331939904365406
380,2021-08-16,1.336065987443902
381,2021-08-17,1.3254856937426722
382,2021-08-18,1.3111373552034522
383,2021-08-19,1.3086407563103675
384,2021-08-20,1.317114865157362
385,2021-08-21,1.317114865157362
386,2021-08-22,1.317114865157362
387,2021-08-23,1.325201782895659
388,2021-08-24,1.3263475345646425
389,2021-08-25,1.327819095172613
390,2021-08-26,1.3206042730340422
391,2021-08-27,1.329705534789222
392,2021-08-28,1.329705534789222
393,2021-08-29,1.329705534789222
394,2021-08-30,1.3276068212730658
395,2021-08-31,1.326140095060323
396,2021-09-01,1.3243324707356092
397,2021-09-02,1.3292562290266885
398,2021-09-03,1.326453598266003
399,2021-09-04,1.326453598266003
400,2021-09-05,1.326453598266003
401,2021-09-06,1.326453598266003
402,2021-09-07,1.3163618714764291
403,2021-09-08,1.3137767885009937
404,2021-09-09,1.3080878772924995
405,2021-09-10,1.29789975559202
406,2021-09-11,1.29789975559202
407,2021-09-12,1.29789975559202
408,2021-09-13,1.3077222212170894
409,2021-09-14,1.2967690930960203
410,2021-09-15,1.305650609613574
411,2021-09-16,1.3032852718757648
412,2021-09-17,1.297043188655753
413,2021-09-18,1.297043188655753
414,2021-09-19,1.297043188655753
415,2021-09-20,1.274000849535087
416,2021-09-21,1.272102104185171
417,2021-09-22,1.2847962005755404
418,2021-09-23,1.303791564903256
419,2021-09-24,1.3050359089355212
420,2021-09-25,1.3050359089355212
421,2021-09-26,1.3050359089355212
422,2021-09-27,1.3077125524266344
423,2021-09-28,1.2863588822087137
424,2021-09-29,1.289761563964944
425,2021-09-30,1.26925493838966
