,date,account_value
64,2020-10-04,1038683.9249585344
65,2020-10-05,1038672.4133737566
66,2020-10-06,1014317.9661734392
67,2020-10-07,1036156.1593791582
68,2020-10-08,1045690.1346811296
69,2020-10-09,1052083.7767940904
70,2020-10-10,1059841.5350194932
71,2020-10-11,1059835.4992013932
72,2020-10-12,1059829.0586099627
73,2020-10-13,1050204.2024183276
74,2020-10-14,1042840.0603050615
75,2020-10-15,1045115.4932629777
76,2020-10-16,1052063.8995363237
77,2020-10-17,1039786.2378461076
78,2020-10-18,1039782.9731497575
79,2020-10-19,1039779.7084534074
80,2020-10-20,1043402.210167885
81,2020-10-21,1035303.9158334733
82,2020-10-22,1049622.0849255754
83,2020-10-23,1051071.1373929216
84,2020-10-24,1025506.5240562059
85,2020-10-25,1025500.183676262
86,2020-10-26,1025494.1935518266
87,2020-10-27,1011423.6814036943
88,2020-10-28,973263.8875804521
89,2020-10-29,974445.8759316637
90,2020-10-30,966175.1678429033
91,2020-10-31,986370.0817337419
92,2020-11-01,986363.9846133805
93,2020-11-02,986357.8874930192
94,2020-11-03,1011142.5816553117
95,2020-11-04,1033672.4713919068
96,2020-11-05,1053428.318983307
97,2020-11-06,1049658.352773285
98,2020-11-07,1096755.5611740113
99,2020-11-08,1096755.5611740113
100,2020-11-09,1096755.5611740113
101,2020-11-10,1115425.9078117372
102,2020-11-11,1106519.9924636842
103,2020-11-12,1095561.6009269715
104,2020-11-13,1119315.6292529297
105,2020-11-14,1151225.1337531281
106,2020-11-15,1151209.4696141435
107,2020-11-16,1151190.1152357867
108,2020-11-17,1156442.1634814455
109,2020-11-18,1136198.4683008576
110,2020-11-19,1138216.12552063
111,2020-11-20,1126008.4694322206
112,2020-11-21,1150509.484972992
113,2020-11-22,1150482.8711671068
114,2020-11-23,1150454.3745054246
115,2020-11-24,1171848.7403470995
116,2020-11-25,1167435.9474161912
117,2020-11-26,1168142.9897654725
118,2020-11-27,1168113.781894913
119,2020-11-28,1153205.7836444476
120,2020-11-29,1153188.4373389054
121,2020-11-30,1153172.9927920916
122,2020-12-01,1164538.7931717301
123,2020-12-02,1187862.2554443742
124,2020-12-03,1207397.1727302934
125,2020-12-04,1207698.8686569596
126,2020-12-05,1212655.755913582
127,2020-12-06,1212655.755913582
128,2020-12-07,1212655.755913582
129,2020-12-08,1213465.3744667436
130,2020-12-09,1205465.1986000445
131,2020-12-10,1204964.8845665362
132,2020-12-11,1196795.5999824908
133,2020-12-12,1187361.6397240069
134,2020-12-13,1187354.8574745562
135,2020-12-14,1187348.0752251055
136,2020-12-15,1198126.4855873492
137,2020-12-16,1192066.235829735
138,2020-12-17,1191472.5617204667
139,2020-12-18,1181882.1005383683
140,2020-12-19,1193402.0384140396
141,2020-12-20,1193402.0384140396
142,2020-12-21,1193402.0384140396
143,2020-12-22,1184880.2133636856
144,2020-12-23,1190382.613876381
145,2020-12-24,1189187.6169968033
146,2020-12-25,1194382.560409584
147,2020-12-26,1194375.5867207719
148,2020-12-27,1194368.6130319596
149,2020-12-28,1194361.968097725
150,2020-12-29,1192800.3281531145
151,2020-12-30,1192800.5236185074
152,2020-12-31,1196335.5841862871
153,2021-01-01,1174317.4631293106
154,2021-01-02,1174303.8747674944
155,2021-01-03,1174289.7526407244
156,2021-01-04,1174279.400963173
157,2021-01-05,1190733.8859350968
158,2021-01-06,1209528.02790638
159,2021-01-07,1224157.7826712418
160,2021-01-08,1219112.6696597673
161,2021-01-09,1215233.4951794434
162,2021-01-10,1215226.2726313784
163,2021-01-11,1215215.1268646242
164,2021-01-12,1218642.4615522767
165,2021-01-13,1212604.9365179064
166,2021-01-14,1214733.6171514513
167,2021-01-15,1201559.1861898424
168,2021-01-16,1209705.3117391588
169,2021-01-17,1209705.3117391588
170,2021-01-18,1209705.3117391588
171,2021-01-19,1209705.3117391588
172,2021-01-20,1215179.9211828234
173,2021-01-21,1208037.172662926
174,2021-01-22,1200653.5424673082
175,2021-01-23,1194619.1305334093
176,2021-01-24,1194601.4483020783
177,2021-01-25,1194583.2305334473
178,2021-01-26,1187690.9743351366
179,2021-01-27,1154974.110335045
180,2021-01-28,1172622.7712026597
181,2021-01-29,1150421.1099966813
182,2021-01-30,1159470.0903008652
183,2021-01-31,1159470.0903008652
184,2021-02-01,1159470.0903008652
185,2021-02-02,1182069.3683388901
186,2021-02-03,1193698.844588585
187,2021-02-04,1200042.6827996445
188,2021-02-05,1198934.6075204087
189,2021-02-06,1208566.635680504
190,2021-02-07,1208566.635680504
191,2021-02-08,1208566.635680504
192,2021-02-09,1215027.21864254
193,2021-02-10,1214868.8512719346
194,2021-02-11,1212251.1403191758
195,2021-02-12,1212106.6620476914
196,2021-02-13,1221651.386435814
197,2021-02-14,1221651.386435814
198,2021-02-15,1221651.386435814
199,2021-02-16,1221651.386435814
200,2021-02-17,1227140.5065682603
201,2021-02-18,1214377.3765862656
202,2021-02-19,1223678.1585457993
203,2021-02-20,1212400.0059350205
204,2021-02-21,1212400.0059350205
205,2021-02-22,1212400.0059350205
206,2021-02-23,1210716.8535683823
207,2021-02-24,1246853.7205804063
208,2021-02-25,1217234.006217308
209,2021-02-26,1204289.0673897935
210,2021-02-27,1238551.8351433945
211,2021-02-28,1238551.8351433945
212,2021-03-01,1238551.8351433945
213,2021-03-02,1234796.3446953965
214,2021-03-03,1238068.3588936997
215,2021-03-04,1223466.769538231
216,2021-03-05,1236919.3128274155
217,2021-03-06,1245531.710692711
218,2021-03-07,1245531.710692711
219,2021-03-08,1245531.710692711
220,2021-03-09,1259831.9947808457
221,2021-03-10,1293246.5222771836
222,2021-03-11,1309948.4942162705
223,2021-03-12,1344126.9661400986
224,2021-03-13,1341264.584998436
225,2021-03-14,1341264.584998436
226,2021-03-15,1341264.584998436
227,2021-03-16,1322927.3044732285
228,2021-03-17,1335965.7975838853
229,2021-03-18,1327663.3470528794
230,2021-03-19,1323012.8221047593
231,2021-03-20,1316425.994147606
232,2021-03-21,1316425.994147606
233,2021-03-22,1316425.994147606
234,2021-03-23,1296683.9692528916
235,2021-03-24,1292577.1734002305
236,2021-03-25,1303522.6590493394
237,2021-03-26,1313272.9569390488
238,2021-03-27,1323402.3838418198
239,2021-03-28,1323402.3838418198
240,2021-03-29,1323402.3838418198
241,2021-03-30,1322649.9954217148
242,2021-03-31,1323691.0998757554
243,2021-04-01,1321028.1488259507
244,2021-04-02,1339338.7647546006
245,2021-04-03,1339338.7647546006
246,2021-04-04,1339338.7647546006
247,2021-04-05,1339338.7647546006
248,2021-04-06,1331267.352538414
249,2021-04-07,1328164.0306695176
250,2021-04-08,1332150.3200448228
251,2021-04-09,1340424.5899117661
252,2021-04-10,1338059.8409646226
253,2021-04-11,1338059.8409646226
254,2021-04-12,1338059.8409646226
255,2021-04-13,1338452.7682946397
256,2021-04-14,1339787.2132714463
257,2021-04-15,1351431.1389556886
258,2021-04-16,1353417.1656985474
259,2021-04-17,1343892.7579046632
260,2021-04-18,1343886.6878910067
261,2021-04-19,1343877.850909729
262,2021-04-20,1321026.5968268586
263,2021-04-21,1332558.201875992
264,2021-04-22,1320532.2163947297
265,2021-04-23,1335111.2204879762
266,2021-04-24,1337347.7396883012
267,2021-04-25,1337276.581219826
268,2021-04-26,1337208.16015049
269,2021-04-27,1340576.68817894
270,2021-04-28,1325821.0393677521
271,2021-04-29,1336936.1319123078
272,2021-04-30,1327893.1963616181
273,2021-05-01,1339062.2758789826
274,2021-05-02,1339062.2758789826
275,2021-05-03,1339062.2758789826
276,2021-05-04,1339065.4870453645
277,2021-05-05,1336033.4329644013
278,2021-05-06,1349314.5209923554
279,2021-05-07,1367894.697750168
280,2021-05-08,1363443.1596985627
281,2021-05-09,1363443.1596985627
282,2021-05-10,1363443.1596985627
283,2021-05-11,1341993.697773056
284,2021-05-12,1309481.0201607514
285,2021-05-13,1323140.2188759614
286,2021-05-14,1344215.9838448334
287,2021-05-15,1341724.9095879365
288,2021-05-16,1341724.9095879365
289,2021-05-17,1341724.9095879365
290,2021-05-18,1335410.147117691
291,2021-05-19,1322752.6376725007
292,2021-05-20,1331057.911029892
293,2021-05-21,1346805.1900139619
294,2021-05-22,1356154.778534012
295,2021-05-23,1356154.778534012
296,2021-05-24,1356154.778534012
297,2021-05-25,1360255.9274445344
298,2021-05-26,1364519.0602646638
299,2021-05-27,1381847.7060585786
300,2021-05-28,1377066.4661789704
301,2021-05-29,1388515.5101891328
302,2021-05-30,1388515.5101891328
303,2021-05-31,1388515.5101891328
304,2021-06-01,1388515.5101891328
305,2021-06-02,1389586.7242661286
306,2021-06-03,1383686.5363312531
307,2021-06-04,1385339.0014954377
308,2021-06-05,1384062.8520241547
309,2021-06-06,1384062.8520241547
310,2021-06-07,1384062.8520241547
311,2021-06-08,1382574.9967003632
312,2021-06-09,1372065.976341324
313,2021-06-10,1370884.5419960786
314,2021-06-11,1369554.0083771516
315,2021-06-12,1363625.7887421418
316,2021-06-13,1363625.7887421418
317,2021-06-14,1363625.7887421418
318,2021-06-15,1364005.2197800446
319,2021-06-16,1351737.7106705476
320,2021-06-17,1341254.0393715668
321,2021-06-18,1321936.276744919
322,2021-06-19,1351585.2368698884
323,2021-06-20,1351585.2368698884
324,2021-06-21,1351585.2368698884
325,2021-06-22,1353522.865718918
326,2021-06-23,1351807.1915474702
327,2021-06-24,1372259.4989891816
328,2021-06-25,1390793.574626999
329,2021-06-26,1372501.125003891
330,2021-06-27,1372501.125003891
331,2021-06-28,1372501.125003891
332,2021-06-29,1369721.210300522
333,2021-06-30,1382552.1333924104
334,2021-07-01,1388174.3727532197
335,2021-07-02,1391269.009140091
336,2021-07-03,1386134.728607254
337,2021-07-04,1386134.728607254
338,2021-07-05,1386134.728607254
339,2021-07-06,1386134.728607254
340,2021-07-07,1381649.476139145
341,2021-07-08,1381986.8512078095
342,2021-07-09,1398103.5120430756
343,2021-07-10,1402803.787265854
344,2021-07-11,1402803.787265854
345,2021-07-12,1402803.787265854
346,2021-07-13,1385428.328231888
347,2021-07-14,1378678.6736794282
348,2021-07-15,1379848.8557930756
349,2021-07-16,1363535.9107933808
350,2021-07-17,1325653.234165268
351,2021-07-18,1325653.234165268
352,2021-07-19,1325653.234165268
353,2021-07-20,1356811.9520035554
354,2021-07-21,1375274.0073471833
355,2021-07-22,1377054.1124192048
356,2021-07-23,1385027.4781151582
357,2021-07-24,1389566.0681534577
358,2021-07-25,1389566.0681534577
359,2021-07-26,1389566.0681534577
360,2021-07-27,1382840.3698159028
361,2021-07-28,1394400.8285485078
362,2021-07-29,1400539.9854203034
363,2021-07-30,1390912.3104782868
364,2021-07-31,1392488.3073998261
365,2021-08-01,1392488.3073998261
